,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Turukhansk,RU,65.8167,87.9833,47.55,94,100,6.22,light rain
117,Hermanus,ZA,-34.4187,19.2345,62.91,57,99,10.92,overcast clouds
118,Weligama,LK,5.9667,80.4167,80.1,80,100,12.44,overcast clouds
119,Burnie,AU,-41.0667,145.9167,45.91,86,5,7.65,clear sky
120,Kysyl-Syr,RU,63.8986,122.7617,78.37,51,43,3.8,scattered clouds
121,Dubti,ET,11.7361,41.0853,105.57,15,68,5.44,broken clouds
122,Straumen,NO,63.8709,11.2999,62.6,71,85,10.58,overcast clouds
123,San Cristobal,VE,7.7669,-72.225,63.81,96,71,1.83,broken clouds
124,Kimbe,PG,-5.5502,150.1429,76.66,91,79,4.05,broken clouds
125,Haimen,CN,23.1935,116.6142,76.89,85,97,16.98,light rain
126,Tuktoyaktuk,CA,69.4541,-133.0374,50.09,89,100,8.97,overcast clouds
127,Moindou,NC,-21.6924,165.677,67.95,72,83,4.68,broken clouds
128,Margate,GB,51.3813,1.3862,65.88,87,99,5.99,overcast clouds
129,Dikson,RU,73.5069,80.5464,35.64,72,94,10.16,overcast clouds
130,Santa Cruz,BO,-17.8,-63.1667,56.66,94,90,24.16,moderate rain
131,Itambacuri,BR,-18.0311,-41.685,64.0,76,0,2.04,clear sky
132,Krasnoselkup,RU,65.7,82.4667,56.61,56,99,7.92,overcast clouds
133,Cayenne,GF,4.9333,-52.3333,79.09,91,20,1.01,few clouds
134,Mengcheng,CN,33.2579,116.5655,86.02,64,48,5.75,scattered clouds
135,Bambous Virieux,MU,-20.3428,57.7575,77.25,73,75,11.5,broken clouds
136,Belle Fourche,US,44.6714,-103.8522,61.5,78,83,6.73,broken clouds
137,Sobolevo,RU,54.4299,31.8996,80.78,63,88,5.21,overcast clouds
138,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,83,0,12.66,clear sky
139,Katsuura,JP,35.1333,140.3,74.1,87,100,13.98,overcast clouds
140,Dingzhou,CN,38.5131,114.9956,91.51,30,4,9.98,clear sky
141,Brownwood,US,31.7093,-98.9912,75.29,91,99,10.29,overcast clouds
142,Mundo Nuevo,MX,18.7,-95.5,76.14,87,100,9.37,overcast clouds
143,Vila Velha,BR,-20.3297,-40.2925,64.35,94,40,5.75,scattered clouds
144,Tasiilaq,GL,65.6145,-37.6368,42.94,70,49,4.34,scattered clouds
145,Hithadhoo,MV,-0.6,73.0833,82.62,71,37,6.58,scattered clouds
146,Broken Hill,AU,-31.95,141.4333,46.11,71,0,0.0,clear sky
147,Natal,BR,-5.795,-35.2094,75.42,73,40,8.05,scattered clouds
148,Evensk,RU,61.95,159.2333,55.45,76,30,4.23,scattered clouds
149,Safaga,EG,26.7292,33.9365,94.95,46,0,12.95,clear sky
150,Rio Brilhante,BR,-21.8019,-54.5464,69.35,46,43,3.53,scattered clouds
151,Conway,US,35.0887,-92.4421,76.98,88,90,13.8,overcast clouds
152,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,75,23,6.35,few clouds
153,Port Shepstone,ZA,-30.7414,30.455,69.49,60,41,19.75,scattered clouds
154,Tutoia,BR,-2.7619,-42.2744,75.92,90,53,6.22,broken clouds
155,Williston,US,48.147,-103.618,60.31,67,100,5.68,overcast clouds
156,Sicamous,CA,50.8331,-118.9856,75.09,69,4,3.18,clear sky
157,Alberton,CA,46.8168,-64.0654,66.33,96,100,18.41,heavy intensity rain
158,Georgetown,MY,5.4112,100.3354,86.9,73,40,5.01,light rain
159,Saskylakh,RU,71.9167,114.0833,55.94,40,100,3.24,overcast clouds
160,Shalinskoye,RU,55.7228,93.7594,61.66,75,100,4.88,light rain
161,Auki,SB,-8.7676,160.7034,76.28,81,92,5.48,overcast clouds
162,Shingu,JP,33.7333,135.9833,72.91,92,100,5.12,light rain
163,Nome,US,64.5011,-165.4064,48.52,91,99,4.83,overcast clouds
164,Brae,GB,60.3964,-1.353,53.51,79,100,14.97,overcast clouds
165,Coahuayana,MX,18.7333,-103.6833,69.98,97,100,6.42,overcast clouds
166,Darnah,LY,32.767,22.6367,87.21,46,0,16.13,clear sky
167,Wilmington,US,34.2257,-77.9447,77.86,87,94,3.27,overcast clouds
168,Berlevag,NO,70.8578,29.0864,48.07,88,94,8.61,overcast clouds
169,Dongsheng,CN,39.8161,109.9776,86.76,17,5,14.54,clear sky
170,Olafsvik,IS,64.8945,-23.7142,49.42,93,90,6.51,overcast clouds
171,Balotra,IN,25.8333,72.2333,102.63,29,10,7.45,clear sky
172,Channel-Port Aux Basques,CA,47.5702,-59.1367,58.1,99,100,18.28,very heavy rain
173,Kon Tum,VN,14.35,108.0,80.44,72,76,4.14,broken clouds
174,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,93,90,9.22,mist
175,Clyde River,CA,70.4692,-68.5914,34.03,93,90,14.97,light rain
176,Cherskiy,RU,68.75,161.3,71.53,38,84,13.2,broken clouds
177,Calabar,NG,4.9517,8.322,79.57,82,94,6.4,moderate rain
178,Kununurra,AU,-15.7667,128.7333,67.98,49,27,5.75,scattered clouds
179,Datong,CN,40.0936,113.2914,86.18,27,24,4.99,few clouds
180,Fairbanks,US,64.8378,-147.7164,61.14,70,75,8.05,broken clouds
181,San Patricio,US,28.017,-97.5169,82.85,87,22,6.73,few clouds
182,Halifax,CA,44.6453,-63.5724,66.09,94,100,1.99,overcast clouds
183,Kijang,KR,35.2442,129.2139,78.53,81,100,10.58,overcast clouds
184,Pedernales,DO,18.0384,-71.744,79.0,66,69,2.8,broken clouds
185,Bilibino,RU,68.0546,166.4372,66.06,51,98,3.29,overcast clouds
186,Lahat,ID,-3.8,103.5333,79.25,80,92,2.1,moderate rain
187,Hauterive,FR,46.0901,3.4459,76.01,85,100,2.21,overcast clouds
188,Sao Gabriel,BR,-30.3364,-54.32,47.32,92,100,12.24,overcast clouds
189,Karratha,AU,-20.7377,116.8463,68.45,61,43,5.48,scattered clouds
190,Namatanai,PG,-3.6667,152.4333,80.28,81,100,4.23,light rain
191,Eureka,US,40.8021,-124.1637,56.19,95,52,2.86,broken clouds
192,Adrar,MR,20.5022,-10.0711,104.94,7,39,17.07,scattered clouds
193,Bruchkobel,DE,50.1833,8.9167,83.14,49,99,4.0,overcast clouds
194,Zatoka,UA,46.0725,30.4654,82.94,63,56,15.19,broken clouds
195,Trincomalee,LK,8.5711,81.2335,89.01,55,99,15.57,overcast clouds
196,North Myrtle Beach,US,33.816,-78.68,78.06,92,97,1.99,overcast clouds
197,Laguna,US,38.421,-121.4238,77.5,78,0,4.0,clear sky
198,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.01,80,98,13.27,overcast clouds
199,Iquique,CL,-20.2208,-70.1431,59.04,80,52,1.77,broken clouds
200,Ballina,AU,-28.8667,153.5667,50.77,90,0,5.75,clear sky
201,Gangawati,IN,15.4333,76.5333,82.45,60,99,14.14,moderate rain
202,Lannion,FR,48.75,-3.4167,66.15,88,90,6.91,overcast clouds
203,Nabire,ID,-3.3667,135.4833,77.76,83,63,2.06,broken clouds
204,Cidreira,BR,-30.1811,-50.2056,58.51,94,100,14.67,moderate rain
205,Mananjary,MG,-21.2167,48.3333,75.92,65,0,6.85,clear sky
206,Vardo,NO,70.3705,31.1107,47.62,92,100,4.18,overcast clouds
207,Norman Wells,CA,65.282,-126.8329,68.04,52,90,9.22,overcast clouds
208,Fayaoue,NC,-20.65,166.5333,75.51,70,100,17.16,overcast clouds
209,Takoradi,GH,4.8845,-1.7554,81.48,75,90,3.62,light rain
210,Jamame,SO,0.0722,42.7506,86.27,49,9,14.83,clear sky
211,Marsh Harbour,BS,26.5412,-77.0636,79.56,75,18,14.32,few clouds
212,Shambu,ET,9.5667,37.1,66.72,59,45,2.89,light rain
213,Gambela,ET,8.25,34.5833,95.65,35,73,6.06,broken clouds
214,Naze,JP,28.3667,129.4833,76.12,90,100,11.7,light rain
215,Tiarei,PF,-17.5333,-149.3333,75.22,79,0,7.25,clear sky
216,Itoman,JP,26.1247,127.6694,81.37,91,75,18.41,moderate rain
217,Vyshhorod,UA,50.5848,30.4898,84.34,64,100,10.54,overcast clouds
218,Chaozhou,CN,23.6651,116.6379,76.86,84,97,7.49,moderate rain
219,Antalaha,MG,-14.9003,50.2788,77.88,59,25,13.33,scattered clouds
220,Acapulco,MX,16.8634,-99.8901,73.02,92,100,5.68,overcast clouds
221,Vostok,RU,46.4856,135.8833,63.84,76,72,1.05,broken clouds
222,Comodoro Rivadavia,AR,-45.8667,-67.5,33.66,75,0,6.91,clear sky
223,East London,ZA,-33.0153,27.9116,70.74,35,0,4.61,clear sky
224,Kampot,KH,10.6167,104.1833,87.85,74,57,8.93,broken clouds
225,Gopalpur,IN,19.2667,84.9167,87.01,72,73,17.0,broken clouds
226,North Bend,US,43.4065,-124.2243,62.17,95,90,0.0,fog
227,Talcahuano,CL,-36.7167,-73.1167,33.48,93,0,5.75,clear sky
228,Muros,ES,42.7762,-9.0603,66.09,63,47,11.74,scattered clouds
229,Erzin,TR,36.9559,36.2,95.52,41,0,8.5,clear sky
230,Fort Smith,US,35.3859,-94.3986,77.05,99,33,3.22,scattered clouds
231,Ngunguru,NZ,-35.6167,174.5,59.16,89,100,11.05,overcast clouds
232,Adilcevaz,TR,38.8039,42.7342,77.13,30,1,5.57,clear sky
233,Khandyga,RU,62.6667,135.6,74.75,52,34,2.71,scattered clouds
234,Chicama,PE,-7.8447,-79.1469,62.01,90,72,3.44,broken clouds
235,Huanren,CN,41.2647,125.3667,65.46,96,100,0.72,overcast clouds
236,Boa Vista,BR,2.8197,-60.6733,76.98,94,40,1.14,scattered clouds
237,Stony Plain,CA,53.5334,-114.0021,67.51,76,1,6.91,clear sky
238,Bandarbeyla,SO,9.4942,50.8122,86.49,56,72,29.35,broken clouds
239,Loa Janan,ID,-0.583,117.095,75.52,96,44,0.11,scattered clouds
240,Kirakira,SB,-10.4544,161.9205,78.64,79,95,8.9,overcast clouds
241,Portree,GB,57.4129,-6.1942,57.85,82,96,2.15,overcast clouds
242,Hasaki,JP,35.7333,140.8333,70.29,90,100,17.05,light rain
243,Codrington,AU,-38.2667,141.9667,47.46,80,6,0.87,clear sky
244,Innisfail,AU,-17.5333,146.0333,69.6,83,86,5.44,overcast clouds
245,Catamarca,AR,-28.4696,-65.7852,40.64,66,33,2.44,scattered clouds
246,Mahenge,TZ,-8.6833,36.7167,75.04,39,8,4.09,clear sky
247,Fort Frances,CA,48.5999,-93.4003,57.06,76,90,0.0,overcast clouds
248,Biak,ID,-0.9131,122.8766,77.23,85,63,4.27,broken clouds
249,Bengkulu,ID,-3.8004,102.2655,80.35,79,66,3.33,broken clouds
250,Pitimbu,BR,-7.4706,-34.8086,72.19,78,84,14.94,broken clouds
251,Son Tay,VN,21.1378,105.505,98.53,60,100,8.84,overcast clouds
252,Ardesen,TR,41.1911,40.9875,76.96,78,67,4.38,broken clouds
253,Amurzet,RU,47.6967,131.0981,74.1,65,6,6.85,clear sky
254,Palauig,PH,15.435,119.9045,82.49,79,66,2.57,light rain
255,Miramar,US,25.9873,-80.2323,81.99,85,100,1.01,overcast clouds
256,Upernavik,GL,72.7868,-56.1549,38.01,91,76,11.5,broken clouds
257,Camacha,PT,33.0833,-16.3333,68.76,64,75,9.22,broken clouds
258,Caraballeda,VE,10.6112,-66.8522,80.85,91,92,3.44,overcast clouds
259,Kasongo-Lunda,CD,-6.4667,16.8167,94.71,20,26,4.38,scattered clouds
260,Marzuq,YE,14.4,46.4667,95.02,20,99,11.95,overcast clouds
261,Orotukan,RU,62.2667,151.7,65.86,47,59,1.41,broken clouds
262,Tupik,RU,54.4253,119.9327,73.22,76,92,3.36,light rain
263,Jining,CN,35.405,116.5814,82.71,61,67,20.92,broken clouds
264,Namibe,AO,-15.1961,12.1522,83.97,36,2,10.18,clear sky
265,Constitucion,CL,-35.3333,-72.4167,39.25,80,0,5.88,clear sky
266,Salalah,OM,17.0151,54.0924,85.8,68,99,10.33,overcast clouds
267,Moirang,IN,24.5,93.7667,84.25,72,98,5.77,overcast clouds
268,Mazamari,PE,-11.3258,-74.5308,65.79,90,85,1.88,overcast clouds
269,Tongchuan,CN,35.0806,109.0897,88.7,37,82,4.52,broken clouds
270,Paracatu,BR,-17.2222,-46.8747,60.67,45,0,2.57,clear sky
271,Kalmunai,LK,7.4167,81.8167,82.74,74,99,11.3,overcast clouds
272,Bathsheba,BB,13.2167,-59.5167,81.21,61,20,19.57,few clouds
273,Penzance,GB,50.1186,-5.5371,60.01,94,100,19.35,moderate rain
274,Ivdel,RU,60.6911,60.4206,78.15,40,64,4.97,broken clouds
275,Sur,OM,22.5667,59.5289,99.41,38,0,4.88,clear sky
276,Port-Gentil,GA,-0.7193,8.7815,82.36,69,40,11.5,scattered clouds
277,Denizli,TR,37.8402,29.0698,94.1,22,0,9.31,clear sky
278,Wylie,US,33.0151,-96.5389,80.11,85,40,4.0,scattered clouds
279,Carlisle,US,40.2015,-77.1889,74.62,90,100,3.49,overcast clouds
280,Remedios,CU,22.4947,-79.5458,75.0,91,94,6.67,overcast clouds
281,Mayo,US,38.8876,-76.5119,75.94,94,99,1.99,overcast clouds
282,Pundaguitan,PH,6.3711,126.1689,83.53,66,92,6.06,overcast clouds
283,San Miguel,SV,13.4833,-88.1833,71.71,99,100,1.01,light rain
284,Souillac,MU,-20.5167,57.5167,77.38,73,75,11.5,broken clouds
285,Flin Flon,CA,54.7682,-101.865,57.07,96,51,7.74,broken clouds
286,Lichinga,MZ,-13.3128,35.2406,69.89,46,40,6.91,scattered clouds
287,Nanortalik,GL,60.1432,-45.2371,46.53,86,76,1.12,broken clouds
288,Puri,IN,19.8,85.85,89.38,74,84,15.41,broken clouds
289,Paraopeba,BR,-19.2757,-44.4033,54.95,72,8,3.94,clear sky
290,Talnakh,RU,69.4865,88.3972,59.36,52,98,10.38,overcast clouds
291,Monroe,US,43.1501,-77.6831,78.31,70,75,11.5,broken clouds
292,Balkhash,KZ,46.844,74.9804,77.61,22,0,11.18,clear sky
293,Sovetskiy,RU,61.3614,63.5842,67.82,58,82,7.7,broken clouds
294,Tautira,PF,-17.7333,-149.15,75.22,83,3,5.93,clear sky
295,Minyar,RU,55.0709,57.5485,77.65,69,60,2.98,broken clouds
296,Saint Anthony,US,45.0205,-93.218,65.14,93,75,0.0,broken clouds
297,Yeppoon,AU,-23.1333,150.7333,62.38,75,98,9.71,overcast clouds
298,Kraksaan,ID,-7.7585,113.3962,79.32,85,35,3.83,scattered clouds
299,Tuatapere,NZ,-46.1333,167.6833,43.83,87,99,15.32,overcast clouds
300,Amazar,RU,53.858,120.875,74.57,69,99,1.79,overcast clouds
301,Changji,CN,44.0167,87.3167,74.19,31,0,6.71,clear sky
302,Jaggayyapeta,IN,16.9,80.1,91.76,53,91,5.57,overcast clouds
303,Gaoua,BF,10.2992,-3.2508,90.99,39,77,4.18,broken clouds
304,Charyshskoye,RU,51.3978,83.5598,64.81,63,59,5.95,broken clouds
305,Dingle,PH,10.9995,122.6711,80.37,82,99,3.02,overcast clouds
306,Yuzhou,CN,34.1628,113.4639,89.87,41,60,11.39,broken clouds
307,Kailua,US,21.4022,-157.7394,77.02,71,75,5.75,broken clouds
308,Srednekolymsk,RU,67.45,153.6833,75.49,35,77,9.33,broken clouds
309,Oxford,GB,51.7522,-1.256,66.4,94,90,1.01,overcast clouds
310,Islahiye,TR,37.025,36.6306,75.87,22,0,4.68,clear sky
311,Byron Bay,AU,-28.65,153.6167,57.87,71,0,5.82,clear sky
312,Kadyy,RU,57.787,43.1903,90.27,36,41,6.87,scattered clouds
313,Sakakah,SA,29.9697,40.2064,107.17,9,0,3.2,clear sky
314,Hudiksvall,SE,61.729,17.1036,65.52,77,100,2.33,overcast clouds
315,Zaysan,KZ,47.4667,84.8667,67.08,41,35,9.98,scattered clouds
316,Las Rosas,AR,-32.4766,-61.5804,38.08,59,2,12.75,clear sky
317,Bonavista,CA,48.6499,-53.1147,60.12,81,100,16.84,overcast clouds
318,Ugoofaaru,MV,5.6667,73.0,82.02,75,98,11.65,moderate rain
319,Port Hardy,CA,50.6996,-127.4199,59.18,94,1,6.91,clear sky
320,Pakxan,LA,18.3778,103.6601,82.45,84,97,3.74,light rain
321,Balikpapan,ID,-1.2675,116.8289,79.79,83,20,3.44,few clouds
322,Gat,IL,31.61,34.7642,97.39,39,0,12.71,clear sky
323,Caliling,PH,9.9804,122.4814,82.85,73,100,2.95,overcast clouds
324,Areal,BR,-22.2306,-43.1056,64.76,93,98,3.89,overcast clouds
325,Brigantine,US,39.4101,-74.3646,76.01,97,85,12.19,overcast clouds
326,Buchanan,LR,5.8808,-10.0467,82.36,76,100,2.01,moderate rain
327,Japura,ID,-0.3167,102.35,81.39,76,100,3.51,overcast clouds
328,Mulege,MX,26.8833,-111.9833,84.85,41,29,1.16,scattered clouds
329,Rawson,AR,-43.3002,-65.1023,43.74,71,95,17.29,overcast clouds
330,Ponta Do Sol,PT,32.6667,-17.1,72.72,64,2,2.3,clear sky
331,Kiunga,PG,-6.1219,141.2906,73.08,99,73,2.53,moderate rain
332,Masvingo,ZW,-20.0637,30.8277,79.02,17,0,6.8,clear sky
333,Mahon,ES,39.8885,4.2658,82.96,39,0,5.75,clear sky
334,Plettenberg Bay,ZA,-34.0527,23.3716,66.16,36,94,0.96,overcast clouds
335,Rio Gallegos,AR,-51.6226,-69.2181,35.65,48,0,6.91,clear sky
336,Dukat,RU,62.55,155.55,61.63,43,72,6.35,broken clouds
337,Narsaq,GL,60.9167,-46.05,54.54,69,98,4.45,overcast clouds
338,Barrow,US,71.2906,-156.7887,42.87,77,100,12.17,overcast clouds
339,Egvekinot,RU,66.3167,-179.1667,40.35,79,88,5.32,overcast clouds
340,Pelym,RU,61.0108,61.9978,78.26,35,4,7.16,clear sky
341,Araouane,ML,18.9048,-3.5265,106.79,11,12,8.46,few clouds
342,Navadwip,IN,23.4167,88.3667,91.4,60,85,12.3,overcast clouds
343,Okmulgee,US,35.6234,-95.9605,70.52,100,90,4.61,overcast clouds
344,College,US,64.8569,-147.8028,61.12,67,75,8.05,broken clouds
345,Iralaya,HN,15.0,-83.2333,78.39,81,100,3.94,overcast clouds
346,Saint-Augustin,CA,51.226,-58.6502,55.78,95,100,7.14,overcast clouds
347,Taua,BR,-5.9667,-40.3,72.68,57,52,8.7,broken clouds
348,Orissaare,EE,58.5592,23.0826,73.35,63,37,5.68,scattered clouds
